iter	Logloss
0	0.6834105622
1	0.6740993589
2	0.6668000942
3	0.6593681542
4	0.6524810735
5	0.6466303012
6	0.6403196258
7	0.6348537894
8	0.6300895696
9	0.6255945016
10	0.6217088112
11	0.6180170728
12	0.6147400294
13	0.611184744
14	0.608099006
15	0.6054743827
16	0.6027793276
17	0.5999912672
18	0.5975012972
19	0.5956714101
20	0.593687683
21	0.5917049273
22	0.5900867555
23	0.5885508686
24	0.5868752858
25	0.5853678505
26	0.5839194911
27	0.5823349265
28	0.5810315595
29	0.5796543409
30	0.5782477475
31	0.5773848757
32	0.5759768198
33	0.5746626501
34	0.5736588895
35	0.5726793059
36	0.5714795371
37	0.5706203765
38	0.5697119815
39	0.5689780524
40	0.5680849604
41	0.5671144596
42	0.5663133063
43	0.5655341815
44	0.5647309075
45	0.5639137352
46	0.5632863138
47	0.5626994848
48	0.5618868577
49	0.5611389063
50	0.5604191931
51	0.5597582077
52	0.5591784975
53	0.558675063
54	0.558172312
55	0.5576067892
56	0.5571524161
57	0.5566203579
58	0.5560330553
59	0.5554200909
60	0.5549575974
61	0.5544820494
62	0.5540414991
63	0.5535342297
64	0.5531802078
65	0.5527681219
66	0.5522516974
67	0.5517377132
68	0.5512795903
69	0.5508549036
70	0.5503785584
71	0.5499397742
72	0.5495161085
73	0.549026072
74	0.5485161495
75	0.5480388959
76	0.5476432715
77	0.5471991437
78	0.5469041728
79	0.5464266476
80	0.5460546961
81	0.5456546667
82	0.5453635195
83	0.5449746825
84	0.5446511314
85	0.5442358563
86	0.5438580301
87	0.5435382642
88	0.5431981592
89	0.5428159183
90	0.5426123354
91	0.5423208615
92	0.5419660646
93	0.5415862648
94	0.5412435917
95	0.5409848367
96	0.5406099315
97	0.5402815603
98	0.5399577328
99	0.5396415395
100	0.5392784947
101	0.5390448048
102	0.538765005
103	0.5385246175
104	0.5382461787
105	0.5379920333
106	0.5377122145
107	0.5374210562
108	0.5371535963
109	0.5368930757
110	0.5366413185
111	0.5363353954
112	0.5361100896
113	0.5359023464
114	0.5356788785
115	0.5353541569
116	0.5351114968
117	0.5348545309
118	0.5345924415
119	0.5343899014
120	0.5341728102
121	0.5338593437
122	0.5335998968
123	0.5332943882
124	0.5330180739
125	0.5327759603
126	0.5325057176
127	0.5322714113
128	0.5320768629
129	0.5318232576
130	0.5315708908
131	0.5312615923
132	0.5309915614
133	0.5307422538
134	0.5305948749
135	0.5303665691
136	0.5300919898
137	0.5298962223
138	0.529699713
139	0.5294863858
140	0.5292832245
141	0.5290436688
142	0.5287793146
143	0.5285781386
144	0.5283444927
145	0.528128105
146	0.5278397162
147	0.5275952153
148	0.5273851979
149	0.527177796
150	0.5269125776
151	0.5267671066
152	0.5265138304
153	0.5262654297
154	0.5260849354
155	0.5258837366
156	0.5256680694
157	0.5255233946
158	0.5252593465
159	0.525114207
160	0.5249113257
161	0.5247221732
162	0.5244949537
163	0.524315794
164	0.5241332425
165	0.5239095224
166	0.5237512626
167	0.5235605646
168	0.5233211875
169	0.5230874502
170	0.5228869967
171	0.5226656181
172	0.5224646138
173	0.522252753
174	0.5220197291
175	0.5218281526
176	0.521623751
177	0.5214490467
178	0.5212944369
179	0.5210971331
180	0.5209201383
181	0.5208055273
182	0.5206448415
183	0.5204905623
184	0.5203027657
185	0.5200603079
186	0.51985084
187	0.519632219
188	0.5194246161
189	0.5192368031
190	0.5190292004
191	0.5188600076
192	0.518677665
193	0.5185125048
194	0.5183014966
195	0.518115164
196	0.5179824412
197	0.5177951676
198	0.5175994486
199	0.5174186816
200	0.5172381097
201	0.5170720171
202	0.5168642256
203	0.5166743482
204	0.5164312092
205	0.516235031
206	0.5160467305
207	0.5158966734
208	0.5157137614
209	0.5155122512
210	0.5152824127
211	0.5151408643
212	0.5149412289
213	0.5147591894
214	0.5145547576
215	0.5143590197
216	0.5141668036
217	0.5139761356
218	0.5137838865
219	0.5135309863
220	0.5133581796
221	0.513146675
222	0.5129618503
223	0.5127525769
224	0.5124927428
225	0.5122925283
226	0.51202358
227	0.5117988934
228	0.5116100035
229	0.5114428186
230	0.5112311201
231	0.5110500932
232	0.5108703067
233	0.510694659
234	0.5104816305
235	0.5102560496
236	0.5100402653
237	0.5098930542
238	0.5096141442
239	0.5093631797
240	0.5091416663
241	0.5089526096
242	0.5087171396
243	0.5085032629
244	0.5082378852
245	0.5080727542
246	0.5079190229
247	0.5077439965
248	0.5075575725
249	0.507330087
