iter	Passed	Remaining
0	44	44074
1	85	42452
2	116	38610
3	148	37005
4	180	35893
5	213	35440
6	246	34910
7	279	34653
8	317	34990
9	362	35868
10	406	36576
11	445	36664
12	483	36730
13	520	36678
14	560	36814
15	593	36522
16	631	36510
17	668	36487
18	702	36295
19	747	36648
20	788	36755
21	832	37004
22	880	37398
23	922	37515
24	964	37632
25	997	37382
26	1037	37379
27	1075	37350
28	1109	37146
29	1149	37180
30	1190	37212
31	1231	37246
32	1271	37262
33	1313	37332
34	1355	37385
35	1398	37441
36	1442	37538
37	1486	37620
38	1523	37535
39	1566	37584
40	1610	37660
41	1655	37762
42	1698	37804
43	1744	37898
44	1786	37907
45	1830	37964
46	1873	37988
47	1915	37991
48	1953	37920
49	2004	38092
50	2044	38043
51	2085	38022
52	2122	37931
53	2159	37823
54	2196	37735
55	2232	37637
56	2268	37533
57	2304	37430
58	2341	37338
59	2379	37283
60	2415	37177
61	2452	37096
62	2486	36982
63	2526	36943
64	2555	36764
65	2586	36608
66	2624	36552
67	2660	36468
68	2699	36430
69	2735	36347
70	2770	36244
71	2806	36178
72	2841	36085
73	2877	36007
74	2914	35946
75	2950	35872
76	2988	35828
77	3025	35759
78	3060	35682
79	3096	35615
80	3137	35598
81	3175	35549
82	3216	35535
83	3251	35454
84	3289	35408
85	3326	35354
86	3367	35336
87	3403	35276
88	3439	35203
89	3479	35178
90	3513	35098
91	3550	35046
92	3582	34941
93	3622	34913
94	3660	34870
95	3697	34819
96	3738	34799
97	3775	34749
98	3812	34697
99	3851	34661
100	3892	34649
101	3929	34591
102	3971	34589
103	4012	34569
104	4053	34553
105	4088	34484
106	4130	34470
107	4163	34385
108	4203	34357
109	4244	34340
110	4283	34308
111	4328	34319
112	4369	34297
113	4409	34273
114	4447	34224
115	4482	34156
116	4519	34108
117	4554	34043
118	4590	33986
119	4620	33884
120	4654	33815
121	4692	33773
122	4728	33711
123	4762	33641
124	4800	33604
125	4837	33557
126	4873	33502
127	4911	33457
128	4940	33361
129	4977	33308
130	5014	33262
131	5054	33235
132	5091	33188
133	5129	33148
134	5165	33097
135	5200	33039
136	5242	33020
137	5276	32959
138	5314	32918
139	5361	32934
140	5397	32883
141	5437	32854
142	5474	32810
143	5515	32783
144	5552	32740
145	5588	32687
146	5623	32629
147	5656	32565
148	5697	32541
149	5732	32483
150	5768	32431
151	5803	32379
152	5852	32398
153	5894	32380
154	5943	32402
155	5997	32448
156	6037	32417
157	6072	32360
158	6114	32343
159	6149	32282
160	6186	32238
161	6220	32178
162	6265	32174
163	6302	32126
164	6338	32078
165	6375	32032
166	6418	32014
167	6456	31975
168	6497	31947
169	6536	31915
170	6573	31868
171	6607	31805
172	6642	31753
173	6678	31705
174	6721	31687
175	6756	31632
176	6795	31598
177	6836	31569
178	6890	31602
179	6932	31582
180	6968	31529
181	7003	31479
182	7043	31446
183	7079	31395
184	7122	31376
185	7163	31351
186	7205	31324
187	7248	31309
188	7288	31274
189	7329	31247
190	7363	31190
191	7405	31163
192	7444	31128
193	7484	31094
194	7528	31079
195	7570	31055
196	7607	31009
197	7648	30981
198	7684	30929
199	7723	30895
200	7763	30861
201	7799	30813
202	7841	30785
203	7881	30753
204	7921	30718
205	7963	30695
206	8003	30661
207	8039	30611
208	8077	30569
209	8113	30522
210	8154	30490
211	8194	30457
212	8238	30438
213	8279	30410
214	8318	30373
215	8358	30337
216	8395	30293
217	8438	30270
218	8472	30214
219	8512	30182
220	8554	30151
221	8592	30114
222	8631	30076
223	8671	30041
224	8704	29982
225	8741	29936
226	8776	29887
227	8816	29851
228	8855	29814
229	8895	29780
230	8946	29782
231	8996	29780
232	9032	29733
233	9069	29689
234	9111	29661
235	9152	29628
236	9195	29602
237	9232	29559
238	9271	29521
239	9318	29507
240	9363	29490
241	9402	29451
242	9449	29437
243	9488	29399
244	9532	29376
245	9571	29336
246	9606	29286
247	9642	29238
248	9686	29214
